                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.54885,                0.27784,                0.79841,                0.88212,                0.98734,                 0.9339,                0.75327,                0.74472,                 70.759,                0.72531,               0.003669,               0.003669,               0.003669
                     62,                0.54738,                0.27603,                0.79756,                0.88165,                0.98794,                0.93421,                0.75462,                0.74609,                 71.185,                0.72555,              0.0035204,              0.0035204,              0.0035204
                     63,                 0.5413,                0.27408,                0.79626,                0.88112,                0.98831,                0.93359,                0.75359,                0.74803,                 71.659,                0.72556,              0.0033732,              0.0033732,              0.0033732
                     64,                0.54139,                0.27255,                0.79699,                0.88215,                0.98734,                0.93353,                0.75247,                0.74943,                 71.688,                0.72569,              0.0032278,              0.0032278,              0.0032278
                     65,                0.53668,                0.27089,                0.79673,                0.88152,                 0.9878,                0.93348,                0.75187,                0.74977,                 72.185,                0.72579,              0.0030841,              0.0030841,              0.0030841
                     66,                0.53253,                0.26926,                0.79549,                0.88212,                0.98707,                0.93319,                0.75209,                0.74885,                 72.446,                 0.7258,              0.0029424,              0.0029424,              0.0029424
                     67,                0.53263,                0.26862,                0.79505,                0.88209,                0.98728,                0.93377,                0.75238,                 0.7492,                 72.899,                0.72587,              0.0028027,              0.0028027,              0.0028027
                     68,                0.52909,                0.26621,                0.79593,                0.88209,                0.98744,                 0.9335,                0.75062,                0.75142,                 73.117,                0.72614,              0.0026653,              0.0026653,              0.0026653
                     69,                0.52672,                 0.2651,                 0.7948,                0.88148,                0.98802,                0.93402,                0.75017,                0.75252,                 73.153,                0.72631,              0.0025302,              0.0025302,              0.0025302
                     70,                0.52256,                0.26297,                0.79434,                0.88131,                0.98794,                0.93362,                 0.7498,                0.75469,                 73.285,                 0.7266,              0.0023977,              0.0023977,              0.0023977
                     71,                0.52206,                0.26137,                0.79391,                0.88127,                0.98835,                0.93376,                 0.7499,                0.75591,                 73.395,                 0.7268,              0.0022677,              0.0022677,              0.0022677
                     72,                0.51816,                0.25912,                0.79348,                0.88187,                0.98756,                0.93352,                 0.7492,                0.75745,                 73.435,                0.72701,              0.0021405,              0.0021405,              0.0021405
                     73,                 0.5173,                0.25817,                0.79379,                0.88154,                0.98814,                0.93379,                0.74961,                0.75766,                 73.394,                0.72704,              0.0020161,              0.0020161,              0.0020161
                     74,                0.51336,                0.25646,                0.79335,                0.88175,                0.98814,                0.93379,                0.74958,                0.75773,                 73.411,                 0.7271,              0.0018948,              0.0018948,              0.0018948
                     75,                0.51166,                 0.2552,                0.79351,                0.88175,                0.98806,                0.93448,                0.74979,                0.75813,                 73.485,                0.72718,              0.0017765,              0.0017765,              0.0017765
                     76,                0.50734,                0.25264,                0.79274,                0.88178,                0.98777,                0.93401,                 0.7493,                0.75828,                  73.57,                0.72721,              0.0016615,              0.0016615,              0.0016615
                     77,                0.50666,                0.25255,                0.79306,                0.88193,                0.98764,                0.93348,                0.74854,                 0.7582,                 73.728,                0.72724,              0.0015498,              0.0015498,              0.0015498
